+=================================+=================================+===========================================================================================================+
| Launch Setup Clock              | Launch Hold Clock               | Pin                                                                                                       |
+=================================+=================================+===========================================================================================================+
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[29]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[30]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[25]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[31]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[27]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[21]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[23]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[26]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[20]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[17]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[18]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[19]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[11]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[8]/D  |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[9]/D  |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[10]/D |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[7]/D  |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[3]/D  |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[2]/D  |
| clk_out1_design_1_clk_wiz_0_0_1 | clk_out1_design_1_clk_wiz_0_0_1 | design_1_i/axi_trng_0/inst/axi_trng_slave_lite_v1_0_S00_AXI_inst/trng_core_inst/random_in_range_reg[1]/D  |
+---------------------------------+---------------------------------+-----------------------------------------------------------------------------------------------------------+
